"uriProposicao";"siglaTipo";"numero";"ano";"codTema";"tema";"relevancia"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2207000";"PL";"3379";"2019";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219227";"MSC";"410";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2220305";"MSC";"418";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2212949";"MPV";"889";"2019";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213191";"MPV";"890";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213191";"MPV";"890";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213191";"MPV";"890";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213323";"MPV";"891";"2019";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213325";"MPV";"892";"2019";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213325";"MPV";"892";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213325";"MPV";"892";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2216030";"MPV";"893";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2216030";"MPV";"893";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2218900";"MPV";"894";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2218900";"MPV";"894";"2019";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2218900";"MPV";"894";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219196";"MPV";"895";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219196";"MPV";"895";"2019";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219197";"MPV";"896";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222884";"MPV";"897";"2019";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222884";"MPV";"897";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/308880";"PL";"2441";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/317970";"PL";"2037";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/427339";"PL";"2439";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/501638";"PL";"402";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/512431";"PL";"2442";"2019";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/530357";"PL";"2440";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/614512";"PL";"4157";"2019";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1299572";"PL";"3820";"2019";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1299572";"PL";"3820";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1299572";"PL";"3820";"2019";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1555295";"PL";"5317";"2019";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2057848";"PL";"2538";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2057848";"PL";"2538";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2080604";"PL";"3855";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2080604";"PL";"3855";"2019";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2080604";"PL";"3855";"2019";"43";"Direito Penal e Processual Penal";"0"
